keyword;mapel;bobot
teknik;Matematika Tingkat Lanjut;3
teknik;Fisika;2
lingkungan;Kimia;4
lingkungan;Matematika Tingkat Lanjut;2
mesin;Fisika;4
mesin;Matematika Tingkat Lanjut;2
elektro;Fisika;4
elektro;Matematika Tingkat Lanjut;2
sipil;Fisika;3
sipil;Matematika Tingkat Lanjut;2
informatika;Matematika Tingkat Lanjut;4
informatika;Bahasa Inggris;2
komputer;Matematika Tingkat Lanjut;4
komputer;Bahasa Inggris;3
Matematika;Matematika Tingkat Lanjut;5
Matematika;Fisika;4
statistika;Matematika Tingkat Lanjut;4
statistika;Ekonomi;3
fisika;Fisika;4
fisika;Matematika Tingkat Lanjut;2
kimia;Kimia;4
kimia;Matematika Tingkat Lanjut;2
biologi;Biologi;4
biologi;Kimia;2
sains data;Matematika Tingkat Lanjut;4
dokter;Kimia;4
dokter;Biologi;5
gigi;Kimia;5
gigi;Biologi;4
kedokteran;Biologi;4
kedokteran;Kimia;4
farmasi;Biologi;4
farmasi;Kimia;4
gizi;Biologi;5
gizi;Kimia;4
keperawatan;Biologi;4
keperawatan;Kimia;3
ekonomi;Ekonomi;4
ekonomi;Matematika Tingkat Lanjut;2
manajemen;Ekonomi;4
manajemen;Matematika Tingkat Lanjut;2
akuntansi;Ekonomi;4
akuntansi;Matematika Tingkat Lanjut;2
administrasi;Ekonomi;3
hukum;PPKN;4
hukum;Sosiologi;2
komunikasi;Sosiologi;5
komunikasi;Bahasa Indonesia;3
arsitektur;Fisika;4
arsitektur;Matematika;3
senirupa;Bahasa Indonesia;4
senirupa;Bahasa Inggris;3
desain;Bahasa Indonesia;4
desain;Matematika Tingkat Lanjut;2
sastra;Bahasa Indonesia;5
inggris;Bahasa Inggris;5
jepang;Bahasa Jepang;5
mandarin;Bahasa Mandarin;5
cina;Bahasa Mandarin;5
sastra cina;Bahasa Mandarin;4
korea;Bahasa Korea;5
arab;Bahasa Arab;5
prancis;Bahasa Prancis;5
jerman;Bahasa Jerman;5
indonesia;Bahasa Inggris;4
jawa;Bahasa Inggris;4
perancis;Bahasa Inggris;4
belanda;Bahasa Inggris;4
rusia;Bahasa Inggris;4
pendidikan;Bahasa Indonesia;10
Geografi;Geografi;4
sejarah;Sejarah;4
sejarah;Antropologi;3
sosiologi;Sosiologi;4
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN;PPKN;4
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB);Geografi;4
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB);Matematika Tingkat Lanjut;3
media;Sosiologi;5
media;Bahasa Indonesia;4
perencanaan;Fisika;4
