Kode PTN,Nama Kampus,Kode Jurusan,Nama Jurusan,Jenjang,Portofolio,Peminat 2024,Daya Tampung 2024,Peminat 2025,Daya Tampung 2025,Link Detail
1111,"USK",'11111001,"PENDIDIKAN DOKTER HEWAN","Sarjana","Tidak Ada",350,72,334,72,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111001&jenis=0"
1111,"USK",'11111002,"TEKNIK SIPIL","Sarjana","Tidak Ada",525,84,515,84,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111002&jenis=0"
1111,"USK",'11111003,"TEKNIK MESIN","Sarjana","Tidak Ada",259,36,282,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111003&jenis=0"
1111,"USK",'11111004,"TEKNIK KIMIA","Sarjana","Tidak Ada",207,48,225,54,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111004&jenis=0"
1111,"USK",'11111005,"ARSITEKTUR","Sarjana","Tidak Ada",272,48,259,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111005&jenis=0"
1111,"USK",'11111006,"TEKNIK ELEKTRO","Sarjana","Tidak Ada",217,48,299,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111006&jenis=0"
1111,"USK",'11111007,"AGROTEKNOLOGI","Sarjana","Tidak Ada",181,36,252,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111007&jenis=0"
1111,"USK",'11111008,"AGRIBISNIS","Sarjana","Tidak Ada",309,48,348,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111008&jenis=0"
1111,"USK",'11111009,"PETERNAKAN","Sarjana","Tidak Ada",111,36,125,39,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111009&jenis=0"
1111,"USK",'11111010,"TEKNOLOGI PANGAN DAN HASIL PERTANIAN","Sarjana","Tidak Ada",125,48,180,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111010&jenis=0"
1111,"USK",'11111011,"TEKNIK PERTANIAN","Sarjana","Tidak Ada",187,48,239,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111011&jenis=0"
1111,"USK",'11111012,"PENDIDIKAN BIOLOGI","Sarjana","Tidak Ada",227,48,271,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111012&jenis=0"
1111,"USK",'11111013,"PENDIDIKAN MATEMATIKA","Sarjana","Tidak Ada",279,48,297,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111013&jenis=0"
1111,"USK",'11111014,"PENDIDIKAN FISIKA","Sarjana","Tidak Ada",103,48,95,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111014&jenis=0"
1111,"USK",'11111015,"PENDIDIKAN KIMIA","Sarjana","Tidak Ada",103,36,132,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111015&jenis=0"
1111,"USK",'11111016,"PENDIDIKAN DOKTER","Sarjana","Tidak Ada",1182,75,1147,75,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111016&jenis=0"
1111,"USK",'11111017,"ILMU KEPERAWATAN","Sarjana","Tidak Ada",1279,108,1343,108,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111017&jenis=0"
1111,"USK",'11111018,"PENDIDIKAN DOKTER GIGI","Sarjana","Tidak Ada",685,30,664,30,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111018&jenis=0"
1111,"USK",'11111019,"MATEMATIKA","Sarjana","Tidak Ada",90,36,91,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111019&jenis=0"
1111,"USK",'11111020,"FISIKA","Sarjana","Tidak Ada",38,36,29,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111020&jenis=0"
1111,"USK",'11111021,"KIMIA","Sarjana","Tidak Ada",80,36,120,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111021&jenis=0"
1111,"USK",'11111022,"BIOLOGI","Sarjana","Tidak Ada",126,36,166,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111022&jenis=0"
1111,"USK",'11111023,"ILMU KELAUTAN","Sarjana","Tidak Ada",123,48,152,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111023&jenis=0"
1111,"USK",'11111024,"BUDIDAYA PERAIRAN","Sarjana","Tidak Ada",68,48,76,48,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111024&jenis=0"
1111,"USK",'11111025,"TEKNIK INDUSTRI","Sarjana","Tidak Ada",395,36,455,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111025&jenis=0"
1111,"USK",'11111026,"INFORMATIKA","Sarjana","Tidak Ada",992,36,959,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111026&jenis=0"
1111,"USK",'11111027,"FARMASI","Sarjana","Tidak Ada",1441,24,1311,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111027&jenis=0"
1111,"USK",'11111028,"TEKNIK GEOFISIKA","Sarjana","Tidak Ada",83,36,88,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111028&jenis=0"
1111,"USK",'11111029,"TEKNIK PERTAMBANGAN","Sarjana","Tidak Ada",605,36,662,36,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111029&jenis=0"
