A (Jurusan Asal);B (Alternatif);;;;;;
Teknik Bangunan;Teknik Sipil;Jalanan;Jembatan;bangunan;;;
Biokimia;Kimia;Biologi;;;;;
STEI-K;Informatika;Teknik Elektro;telekomunikasi;;;;
Teknik Lingkungan;Teknik Sipil;Ilmu Lingkungan;;;;;
Statistika Terapan;Statistika;Matematika;;;;;
Teknik Listrik;Teknik Elektro;Energi listrik;Listrik;;;;
Teknologi Bioproses;Kimia;Bioteknologi;;;;;
Pendidikan Dokter;Kedokteran;;;;;;
kedokteran;Pendidikan Dokter;;;;;;
Pendidikan Dokter Gigi;Kedokteran Gigi;HIGIENE GIGI;;;;;
Hubungan Masyarakat;Hubungan Masyarakat;;;;;;
Penyiaran Multimedia;Televisi dan Film;Komunikasi Media;Produksi Media;Manajemen Produksi Media;;;
Administrasi Rumah Sakit;Administrasi Rumah Sakit;Administrasi Kesehatan;Rekam Medis dan Informasi Kesehatan;;;;
Administrasi Publik;Administrasi Publik;Administrasi Bisnis;Akuntansi;Manajemen;Ilmu Ekonomi;;
Administrasi Bisnis;Administrasi Bisnis;Administrasi Niaga;;;;;
Administrasi Perkantoran;Administrasi Perkantoran;Administrasi Bisnis;Manajemen Rekod dan Arsip;;;;
Administrasi Perpajakan;Administrasi Perpajakan;Perpajakan;Ilmu Administrasi Fiskal;;;;
Administrasi Keuangan dan Perbankan;Administrasi Keuangan dan Perbankan;Keuangan;Perbankan;;;;
Periklanan Kreatif;Pemasaran Digital;Desain Grafis;Bisnis Digital;;;;
Administrasi Asuransi & Aktuaria;Aktuaria;Asuransi;;;;;
Manajemen Rekod dan Arsip;Kearsipan;Perkantoran;Ilmu Perpustakaan;;;;
Terapi Okupasi;Fisioterapi;;;;;;
Manajemen Bisnis Pariwisata;Pariwisata;Wisata;PERJALANAN INSENTIF;Pameran;konvensi;meeting;INCENTIVE
Bisnis Islam;Ekonomi Islam;Syariah;;;;;
Ilmu Ekonomi Islam;Ekonomi Islam;Syariah;;;;;
Sastra Cina;Mandarin;Tiongkok;;;;;
Sastra Jawa;Jawa;Daerah;;;;;
Hubungan Internasional;Hubungan Internasional;Hukum;Politik;;;;
Ilmu Hubungan Internasional;Hubungan Internasional;Hukum;Politik;;;;
Ilmu Administrasi Fiskal;Perpajakan;Fiskal;Akuntansi;;;;
Manajemen;Manajemen;Akuntansi;;;;;
Ilmu Administrasi Niaga;Niaga;Administrasi Bisnis;;;;;
Administrasi Niaga;Niaga;Administrasi Bisnis;;;;;
Ilmu Ekonomi;Ilmu Ekonomi;Syariah;;;;;
Antropologi Sosial;Antropologi;;;;;;
Ilmu Kesejahteraan Sosial;Kesejahteraan Sosial;;;;;;
Kriminologi;Hukum;Politik;;;;;
Ilmu Administrasi Negara;Publik;Administrasi Publik;;;;;
Ilmu Komunikasi;Komunikasi;Periklanan Kreatif;;;;;
Ilmu Psikologi;Psikologi;;;;;;
Arkeologi Indonesia;Arkeologi;Antropologi;Sejarah;;;;
Arkeologi;Arkeologi;Antropologi;Sejarah;;;;
Ilmu Hukum;Hukum;Politik;;;;;
Ilmu Kesehatan dan Keselamatan Kerja;Keselamatan;;;;;;
Kesehatan Lingkungan;Lingkungan;;;;;;
Gizi;Gizi;Ilmu Gizi;;;;;
Arsitektur Interior;Arsitektur;Interior;Arsitek;;;;
Teknik Komputer;Komputer;Informatika;ilmu komputer;telekomunikasi;Jaringan;;
Teknik Perkapalan;Kapal;;;;;;
Ilmu Kesehatan Masyarakat;Kesehatan Masyarakat;;;;;;
Kesehatan Masyarakat;Kesehatan Masyarakat;;;;;;
SEKOLAH BISNIS DAN MANAJEMEN - KAMPUS CIREBON (SBM-C);Manajemen;Bisnis;;;;;
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB);geologi;geografi;;;;;
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - SAINS (SITH-S);biologi;hayati;mikrobiologi;;;;
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK);arsitektur;perancangan;;;;;
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - REKAYASA (SITH-R);biologi;hayati;;;;;
SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN - KAMPUS CIREBON (SAPPK-C);arsitektur;perancangan;;;;;
FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C);pertambangan;perminyakan;;;;;
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN - KAMPUS CIREBON (FITB-C);geografi;geologi;;;;;
FAKULTAS Matematika DAN ILMU PENGETAHUAN ALAM - Matematika (FMIPA-M);Matematika;;;;;;
FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - TEKNOLOGI LINGKUNGAN (FTSL-L);sipil;lingkungan;;;;;
FAKULTAS TEKNOLOGI INDUSTRI - REKAYASA INDUSTRI (FTI-RI);industri;;;;;;
SEKOLAH ILMU DAN TEKNOLOGI HAYATI - KAMPUS CIREBON (SITH-C);biologi;hayati;;;;;
SEKOLAH BISNIS DAN MANAJEMEN - KAMPUS CIREBON (SBM-C);manajemen;bisnis;;;;;
KEWIRUSAHAAN;bisnis;;;;;;
TEKNOLOGI HASIL PERTANIAN;pertanian;agri;agro;agribisnis;;;
TEKNOLOGI INFORMASI;informasi;telekomunikasi;;;;;
